Azul;Vermelho
59,5;47,1
46,9;26,4
92,4;93,9
67,2;77,6
42,9;28,5
56,6;69,8
66,1;54,8
37,2;47
45;55,9
63,2;78,3
73,8;66
82,8;86,9
90;95,1
66,6;65,3
31,5;41,2
27,9;36,6
67,1;47,7
41,5;48,2
62,8;48,4
43;59,5
51,7;68,5
68,4;76,5
51,7;65,9
48,4;57,5
77,7;63,3
40,8;30,2
57,7;69,7
36,2;48,3
35,5;48,1
56,7;69,5
68,8;59,8
61,1;76,1
65,2;70,9
88,5;79,9
57,1;54,9
57;52
67,2;62,6
50,2;63,2
66,7;74,5
67,9;57,6
49,8;33,4
63,3;53,3
43,4;64,1
65,4;79,1
66,8;76,6
42,1;30,6
57,1;70,1
96,4;97,3
78,2;65,9
55,8;60,8
65,3;69,8
39,3;57,5
53,3;74,2
64,6;66,2
52,5;51,4
55,7;70,4
60,4;65,5
63,2;55,5
61,7;53,3
81,6;76,8
85,1;82,2
67,7;77,5
45,2;28,5
39,1;44,8
37,8;51,1
50,3;59,6
50,9;35
73,4;73,8
43,8;56,3
23;39,7
25,7;37,9
50;54,4
81,4;68,3
43,9;46,8
65,7;56,4
63,4;74,5
60,8;73,7
31,6;43,6
38;56,9
51,5;68,5
46,8;65,8
119,9;105
38,5;41
94,9;96,8
82,6;87,6
47,1;57,6
75,1;67,4
30,5;48,9
67,7;58,7
68,4;60,5
63,3;48,1
50;35,7
51,2;75,3
88,3;86,3
78,7;57,7
52,9;60,8
89,8;85,3
80,7;83
72,9;80,9
61,4;55,2
