Pais;Expectativa;Renda;Mortalidade
Abkhazia;;;
Afghanistan;53,8;1925;91,1
Akrotiri and Dhekelia;;;
Albania;78;10620;14
Algeria;76,4;13434;24
American Samoa;72,9;;
Andorra;84,8;46577;2,8
Angola;59,6;7615;156,9
Anguilla;;;
Antigua and Barbuda;76,4;21049;8,1
Argentina;76,5;17344;12,5
Armenia;74,7;7763;14,2
Aruba;75,72;37138;16,57
Australia;82,3;44056;3,5
Austria;81,3;44401;3,5
Azerbaijan;72,9;16986;31,7
Bahamas;73,7;22818;12,1
Bahrain;79,1;44138;6,2
Bangladesh;70,4;3161;37,6
Barbados;75,7;12984;13
Belarus;71;17415;4,4
Belgium;80,5;41240;4,1
Belize;71,7;8501;16,5
Benin;62,3;1830;99,5
Bermuda;78,5;47081;
Bhutan;72,7;7983;32,9
Bolivia;73,2;6295;38,4
Bosnia and Herzegovina;78,9;9833;6
Botswana;58,7;17196;53,3
Brazil;74,4;15441;13,3
British Virgin Islands;;;
Brunei;77,1;73003;10,3
Bulgaria;74,8;16371;10,7
Burkina Faso;60,9;1654;88,6
Burundi;61,4;777;81,7
Cambodia;69,4;3267;28,7
Cameroon;59,4;2897;88,7
Canada;81,7;43294;4,9
Cape Verde;72,9;6514;24,3
Cayman Islands;;49009;
Central African Republic;49,6;599;130,5
Chad;57,4;2191;138,7
Channel Islands;80,61;;8,87
Chile;79,4;22465;8,1
China;76,2;13334;10,7
Christmas Island;;;
Cocos Island;;;
Colombia;78;12761;15,9
Comoros;68,1;1472;73,5
Congo, Dem. Rep.;60,8;809;98,3
Congo, Rep.;61,5;6220;45
Cook Is;;;8,1
Costa Rica;80,3;14132;9,7
Cote d'Ivoire;59,1;3491;94,4
Croatia;77,8;20260;4,3
Cuba;78,2;21291;5,6
Cyprus;81,8;29797;3,4
Czech Republic;78,8;29437;3,4
Czechoslovakia;;;
Denmark;80,4;43495;3,5
Djibouti;63,8;3139;65,3
Dominica;73,1;10503;21,2
Dominican Republic;75,3;12837;30,9
East Germany;;;
Ecuador;75,9;10996;21,6
Egypt;71,5;11031;24
El Salvador;74,9;7776;16,8
Equatorial Guinea;61;31087;94,1
Eritrea;60,7;1129;46,5
Eritrea and Ethiopia;;;
Estonia;77,8;26812;3
Ethiopia;65,2;1520;59,2
Faeroe Islands;;;
Falkland Is (Malvinas);;;
Fiji;65,8;7925;22,4
Finland;80,9;38923;2,3
France;81,8;37599;4,3
French Guiana;77,58;;10,78
French Polynesia;76,69;;6,8
Gabon;65,9;18627;52,2
Gambia;68,1;1644;68,9
Georgia;72,9;7474;11,9
Germany;80,8;44053;3,7
Ghana;65,3;4099;61,6
Gibraltar;;;
Greece;81;25430;4,1
Greenland;72,1;27763;
Grenada;71,5;11593;11,8
Guadeloupe;81,41;;5,77
Guam;71,7;;10,36
Guatemala;72,6;7279;29,1
Guernsey;;;
Guinea;59,1;1225;93,7
Guinea-Bissau;55,6;1386;92,5
Guyana;66,8;6816;39,4
Haiti;64,3;1710;69
Holy See;;;
Honduras;73;4270;20,4
Hong Kong, China;83,73;53874;2,42
Hungary;76,7;24200;6,2
Iceland;83,3;42182;2
India;67,2;5903;47,7
Indonesia;71,1;10504;27,2
Iran;74,6;15573;15,5
Iraq;67,4;14646;32
Ireland;81,7;47758;3,6
Isle of Man;;;
Israel;82,1;31590;4
Italy;82,2;33297;3,4
Jamaica;75;8606;15,7
Japan;83,2;36162;2,7
Jersey;;;
Jordan;78,5;11752;17,9
Kazakhstan;70,2;23468;14,1
Kenya;65,1;2898;50,6
Kiribati;63;1824;55,9
North Korea;72,1;1390;24,9
South Korea;81;34644;3,5
"United Korea (former)
";;;
Kosovo;;9021;
Kuwait;80,3;82633;8,6
Kyrgyz Republic;69,8;3245;21,3
Lao;67,1;5212;66,7
Latvia;75,4;23282;7,9
Lebanon;78,9;17050;8,3
Lesotho;47,1;2598;97,1
Liberia;63,2;958;69,9
Libya;74,1;17261;13,4
Liechtenstein;;;
Lithuania;75,2;26665;4
Luxembourg;82,2;88314;1,9
Macao, China;80,82;148374;4,81
Macedonia, FYR;76,5;12547;5,5
Madagascar;63,5;1400;49,6
Malawi;60,5;799;65,4
Malaysia;75,3;24320;8,2
Maldives;80;14408;8,6
Mali;60,2;1684;114,7
Malta;82,1;30265;5,9
Marshall Islands;66,9;3661;36
Martinique;81,86;;6,58
Mauritania;69,7;3877;84,7
Mauritius;74,5;18350;13,5
Mayotte;79,65;;4,27
Mexico;75,9;16850;13,2
Micronesia, Fed. Sts.;68,9;3510;34,7
Moldova;73,9;4896;15,8
Monaco;;63472;3,5
Mongolia;67,1;11819;22,4
Montenegro;77,2;14833;4,7
Montserrat;;;
Morocco;74,6;7319;27,6
Mozambique;57,1;1176;80,6
Myanmar;68;4012;50
Namibia;64,2;10040;46,7
Nauru;;16686;35,4
Nepal;69,7;2352;35,8
Netherlands;81,3;45784;3,8
Netherlands Antilles;77,14;;
New Caledonia;76,74;;14,18
New Zealand;81,4;34186;5,7
Ngorno-Karabakh;;;
Nicaragua;78;4712;22,1
Niger;61;943;95,5
Nigeria;64,6;5727;108,8
Niue;;;23
Norfolk Island;;;
Northern Cyprus;;;
Northern Mariana Islands;76,2;;
Norway;82;64304;2,5
Oman;77,2;48226;11,6
Pakistan;65,9;4743;81,1
Palau;;14315;16,4
Panama;78,2;20485;17
Papua New Guinea;60,9;2529;57,3
Paraguay;74,4;8219;20,5
Peru;79,5;11903;16,9
Philippines;71;6876;28
Pitcairn;;;
Poland;77,6;24787;5,2
Portugal;80,8;26437;3,6
Puerto Rico;78,5;33604;6,69
Qatar;79,7;132877;7,7
Reunion;80,12;;4,28
Romania;75,2;19203;11,1
Russia;71;23038;9,6
Rwanda;65,9;1549;42
St. Barthélemy;;;
St. Helena;;;
St. Kitts and Nevis;;21896;10,5
St. Lucia;74,8;9997;14,3
St. Martin;;;
St. Vincent and the Grenadines;71,2;10435;18,3
St.-Pierre-et-Miquelon;;;
Samoa;73,2;5558;17,5
San Marino;;40075;2,9
Sao Tome and Principe;68;3003;47,3
Saudi Arabia;79,5;52469;14,5
Senegal;65,3;2251;47,2
Serbia;76,2;12908;6,7
Serbia and Montenegro;;;
Serbia excluding Kosovo;;;
Seychelles;74,1;25684;13,6
Sierra Leone;57,1;2085;120,4
Singapore;82;80794;2,7
Slovak Republic;77,6;27204;6,7
Slovenia;80,9;28550;2,7
Solomon Islands;64;2047;28,1
Somalia;54,2;624;136,8
Somaliland;;;
South Africa;61,3;12509;42,1
South Ossetia;;;
Spain;82,6;32979;4,1
Sri Lanka;77,6;10624;8,7
Sudan;67,5;3975;70,1
Suriname;72;17125;21,3
Svalbard;;;
Swaziland;51,8;6095;69,6
Sweden;82,1;44892;3
Switzerland;83;56118;3,9
Syria;68,2;4637;12,9
Taiwan;79,5;42948;
Tajikistan;72,4;2582;44,8
Tanzania;64,1;2571;48,4
Thailand;74,7;14512;12,3
Timor-Leste;72,4;2086;52,6
Togo;61,5;1433;78,4
Tokelau;;;
Tonga;71,5;5069;16,7
Transnistria;;;
Trinidad and Tobago;72,4;30113;20,4
Tunisia;77,6;11126;14
Turkey;79,2;19360;13,5
Turkmenistan;70;15865;51,4
Turks and Caicos Islands;;20068;
Tuvalu;;3622;27,1
Uganda;61,3;1680;59,5
Ukraine;71,5;8449;9
United Arab Emirates;75,4;60749;6,8
United Kingdom;81;38225;4,2
United States;79,1;53354;6,5
Uruguay;76,8;20438;10,1
USSR;;;
Uzbekistan;71,8;5598;39,1
Wallis et Futuna;;;
Vanuatu;64,9;2912;27,5
Venezuela;74,8;15753;14,9
West Bank and Gaza;74,6;4319;21,1
West Germany;;;
Western Sahara;68,3;;41,45
Vietnam;75,4;5623;21,7
Virgin Islands (U.S.);80,6;;10,33
North Yemen (former);;;
South Yemen (former);;;
Yemen;66;3887;47,5
Yugoslavia;;;
Zambia;56,7;4034;67,8
Zimbabwe;59,3;1801;79,6
Åland;;;
South Sudan;56,1;3047;92,6
;;;11,33
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
